Date,City,State,SizeRank,ForSale_Inv,New_Listings,Avg_List_Price,%Change_LP,Avg_Sale_Price,%Change_SP,HVI,%Change_HVI,Avg_Rent,%Change_Rent
2018-03-31,Cleveland,OH,29,11685.0,2535.0,164900.0,2.06,133333.0,-0.5,147603.0,0.91,1078.0,0.56
2018-03-31,Kansas City,MO,30,9181.0,3019.0,269617.0,3.72,203383.0,1.67,191532.0,0.71,1035.0,0.68
2018-03-31,Las Vegas,NV,31,12277.0,4055.0,294947.0,1.03,272696.0,0.38,264515.0,0.69,1228.0,0.74
2018-03-31,Columbus,OH,32,5063.0,2210.0,284800.0,6.22,193500.0,-0.94,191539.0,0.34,1103.0,1.01
2018-03-31,Indianapolis,IN,33,7126.0,2444.0,227598.0,5.47,166650.0,1.42,167379.0,0.73,1084.0,0.65
2018-03-31,Austin,TX,35,8297.0,2904.0,357539.0,1.2,297124.0,-0.62,313174.0,0.23,1357.0,0.59
2018-03-31,Virginia Beach,VA,36,11781.0,2662.0,259866.0,1.13,240333.0,0.63,235374.0,0.14,1245.0,0.81
2018-03-31,Nashville,TN,37,8732.0,2400.0,376933.0,0.66,267396.0,-0.42,267030.0,0.72,1354.0,0.97
2018-03-31,Providence,RI,38,5420.0,1403.0,353071.0,1.52,256217.0,0.36,303250.0,0.7,1366.0,0.96
2018-03-31,Jacksonville,FL,40,10803.0,2771.0,310000.0,1.65,232601.0,0.14,213717.0,0.33,1218.0,0.66
2018-03-31,Memphis,TN,41,5664.0,1373.0,189933.0,-0.61,163000.0,-0.2,140726.0,0.51,1052.0,0.38
2018-03-31,Oklahoma City,OK,42,8463.0,2116.0,242546.0,2.02,164633.0,0.41,151315.0,0.02,1051.0,0.77
2018-03-31,Louisville-Jefferson County,KY,43,4489.0,1587.0,254100.0,5.67,170417.0,-0.97,168760.0,0.72,1024.0,0.49
2018-03-31,Hartford,CT,44,5154.0,1301.0,286926.0,3.06,215667.0,1.57,236054.0,0.28,1311.0,0.23
2018-03-31,New Orleans,LA,46,4026.0,1039.0,243167.0,0.28,187599.0,-2.19,201824.0,-0.16,1211.0,1.85
2018-03-31,Buffalo,NY,47,2528.0,870.0,184227.0,3.85,142200.0,-0.65,160953.0,0.41,970.0,0.52
2018-03-31,Raleigh,NC,48,6792.0,1717.0,352023.0,1.97,271000.0,0.0,263277.0,0.4,1287.0,0.55
2018-03-31,Birmingham,AL,49,6419.0,1636.0,215050.0,4.01,183767.0,0.99,161223.0,0.22,1035.0,0.78
2018-03-31,Salt Lake City,UT,50,2796.0,1289.0,428250.0,1.68,300938.0,2.5,342152.0,1.04,1213.0,0.75
2018-03-31,Grand Rapids,MI,52,2950.0,1122.0,281667.0,4.33,179383.0,1.51,196769.0,0.66,1083.0,1.31
2018-03-31,Tucson,AZ,53,5627.0,1670.0,269333.0,1.9,200667.0,-0.58,198405.0,0.61,1063.0,0.09
2018-03-31,Urban Honolulu,HI,54,3821.0,1066.0,656667.0,-1.0,560667.0,-2.49,717949.0,0.5,2277.0,0.26
2018-03-31,Tulsa,OK,55,6824.0,1477.0,196201.0,2.25,160967.0,0.42,144191.0,0.1,991.0,-0.4
2018-03-31,Fresno,CA,56,2003.0,843.0,330208.0,-0.01,266833.0,-0.62,250194.0,0.46,1388.0,0.43
2018-03-31,Worcester,MA,57,2644.0,860.0,288191.0,2.26,246667.0,-1.07,281416.0,0.44,1356.0,1.04
2018-03-31,Stamford,CT,58,5469.0,1346.0,763242.0,5.98,385834.0,-3.41,418118.0,0.11,2079.0,0.97
2018-03-31,Albuquerque,NM,59,3709.0,1155.0,250567.0,1.91,188650.0,1.52,195929.0,0.71,1054.0,0.76
2018-03-31,Albany,NY,60,2479.0,575.0,249052.0,1.66,181650.0,1.01,196260.0,0.73,1176.0,0.86
2018-03-31,Omaha,NE,61,3068.0,1133.0,295141.0,2.94,176667.0,0.76,188128.0,0.45,968.0,-0.21
2018-03-31,New Haven,CT,62,3604.0,878.0,301130.0,3.49,207250.0,0.12,225881.0,0.3,1503.0,0.33
2018-03-31,Bakersfield,CA,63,2732.0,863.0,267267.0,2.15,227083.0,-0.55,213849.0,0.41,1188.0,0.34
2018-03-31,Knoxville,TN,64,4792.0,1182.0,266633.0,1.41,178198.0,0.91,176592.0,0.58,1103.0,0.73
2018-03-31,Greenville,SC,65,5705.0,1296.0,259822.0,1.72,188667.0,0.18,190683.0,0.51,1148.0,0.61
2018-03-31,Ventura,CA,66,1704.0,724.0,777650.0,-0.38,578167.0,-0.49,604985.0,0.64,2324.0,0.35
2018-03-31,Allentown,PA,67,3615.0,965.0,247789.0,1.35,176083.0,-1.84,201715.0,0.54,1309.0,0.38
2018-03-31,El Paso,TX,68,4628.0,1012.0,180294.0,0.11,151617.0,-0.33,128754.0,-0.13,1031.0,0.49
2018-03-31,Baton Rouge,LA,69,4429.0,1161.0,234667.0,1.29,196373.0,-0.32,194168.0,0.12,1187.0,0.08
2018-03-31,Dayton,OH,70,2815.0,905.0,140769.0,2.93,125375.0,-0.79,123458.0,0.49,968.0,1.26
2018-03-31,Greensboro,NC,73,2717.0,715.0,205666.0,4.1,147667.0,0.23,141715.0,0.41,984.0,0.31
2018-03-31,Akron,OH,74,3846.0,852.0,145600.0,0.95,123283.0,-3.71,142182.0,0.51,906.0,1.46
2018-03-31,North Port-Sarasota-Bradenton,FL,75,10496.0,2648.0,361433.0,0.45,269298.0,-1.71,269611.0,0.41,1544.0,0.19
2018-03-31,Little Rock,AR,76,4949.0,1006.0,173256.0,0.97,156317.0,0.54,146271.0,0.1,916.0,-0.11
2018-03-31,Stockton,CA,77,1336.0,619.0,367233.0,-0.43,381500.0,1.96,348729.0,0.58,1727.0,0.76
2018-03-31,Charleston,SC,78,6840.0,1637.0,366268.0,1.28,265980.0,-1.27,264678.0,0.58,1357.0,0.37
2018-03-31,Syracuse,NY,79,2416.0,547.0,133412.0,2.6,125967.0,-2.88,139158.0,0.81,1063.0,-1.57
2018-03-31,Colorado Springs,CO,80,2050.0,1019.0,468416.0,-0.95,295305.0,1.58,287460.0,0.48,1343.0,0.45
2018-03-31,Winston-Salem,NC,81,2518.0,699.0,213333.0,0.8,152003.0,0.0,144260.0,0.54,1127.0,0.99
2018-03-31,Springfield,MA,83,1662.0,474.0,245479.0,1.95,197550.0,-0.19,227042.0,0.27,1263.0,0.96
2018-03-31,Fort Myers,FL,84,17292.0,3057.0,248095.0,0.0,226283.0,1.19,236783.0,0.54,1359.0,-0.44
2018-03-31,Boise City,ID,85,3216.0,1374.0,348297.0,1.55,259072.0,2.65,255789.0,1.09,1153.0,0.87
2018-03-31,Toledo,OH,86,2357.0,647.0,129967.0,3.48,108485.0,1.49,115927.0,0.83,973.0,0.21
2018-03-31,Madison,WI,87,2343.0,775.0,309600.0,3.12,251633.0,2.99,266692.0,0.78,1154.0,0.7
2018-03-31,Lakeland,FL,88,4511.0,1056.0,231647.0,0.76,185163.0,0.0,170433.0,0.37,1204.0,1.78
2018-03-31,Ogden,UT,89,1963.0,711.0,367626.0,3.95,248167.0,0.69,286350.0,0.74,1179.0,1.2
2018-03-31,Daytona Beach,FL,90,5896.0,1628.0,271933.0,0.62,194898.0,0.0,204356.0,0.54,1256.0,0.88
2018-03-31,Des Moines,IA,91,4122.0,1241.0,283797.0,2.21,195583.0,-0.42,197651.0,0.08,1033.0,0.98
2018-03-31,Provo,UT,100,1804.0,580.0,402985.0,2.72,288283.0,0.92,331857.0,0.66,1244.0,-0.16
2018-03-31,Durham,NC,104,1991.0,640.0,372943.0,2.48,264167.0,0.76,249138.0,0.73,1254.0,1.13
2018-03-31,Fort Collins,CO,159,2232.0,553.0,438694.0,0.47,376142.0,1.72,393135.0,0.38,1481.0,1.86
2018-04-30,New York,NY,1,79696.0,24097.0,544667.0,1.93,400667.0,0.25,466559.0,0.66,2635.0,0.53
2018-04-30,Los Angeles-Long Beach-Anaheim,CA,2,23692.0,10249.0,838000.0,2.07,636000.0,2.14,655102.0,0.7,2332.0,0.52
2018-04-30,Chicago,IL,3,49052.0,15432.0,336133.0,5.22,232333.0,2.95,236934.0,0.21,1659.0,0.61
2018-04-30,Dallas-Fort Worth,TX,4,26741.0,10553.0,359633.0,2.28,261667.0,2.35,243066.0,0.64,1348.0,0.6
2018-04-30,Philadelphia,PA,5,28315.0,8709.0,260633.0,2.75,229000.0,2.23,238512.0,0.64,1499.0,0.67
2018-04-30,Houston,TX,6,36497.0,9224.0,325661.0,1.47,231298.0,3.17,209697.0,0.46,1335.0,0.45
2018-04-30,Washington,DC,7,25989.0,9428.0,453031.0,2.51,397526.0,2.72,416477.0,0.4,1940.0,0.83
2018-04-30,Miami-Fort Lauderdale,FL,8,65478.0,12128.0,396201.0,0.34,273332.0,1.23,284829.0,0.56,1849.0,0.05
2018-04-30,Atlanta,GA,9,31070.0,10172.0,335333.0,3.61,234541.0,2.78,221458.0,0.63,1332.0,0.68
2018-04-30,Boston,MA,10,11613.0,5523.0,584000.0,3.48,437333.0,2.98,477618.0,0.56,2436.0,0.7
2018-04-30,San Francisco,CA,11,6285.0,3833.0,899667.0,4.9,812667.0,6.23,1100254.0,1.36,2962.0,0.44
2018-04-30,Detroit,MI,12,15172.0,5977.0,237998.0,5.95,172000.0,2.18,167046.0,1.02,1109.0,0.18
2018-04-30,Riverside,CA,13,19441.0,6663.0,402666.0,1.47,364500.0,1.2,361903.0,0.77,1762.0,0.74
2018-04-30,Phoenix,AZ,14,28535.0,9706.0,351317.0,1.44,264167.0,0.57,256095.0,0.72,1217.0,1.25
2018-04-30,Seattle,WA,15,8395.0,4982.0,583783.0,4.47,479890.0,4.82,508291.0,1.06,1820.0,1.05
2018-04-30,Minneapolis-St Paul,MN,16,11727.0,5183.0,392963.0,1.46,254333.0,2.07,276134.0,0.68,1408.0,0.79
2018-04-30,San Diego,CA,17,7871.0,3588.0,749333.0,1.81,568333.0,2.4,582096.0,-0.04,2204.0,0.5
2018-04-30,St. Louis,MO,18,13593.0,4462.0,204933.0,4.26,174967.0,2.92,172975.0,0.34,1012.0,0.9
2018-04-30,Tampa,FL,19,22130.0,6670.0,265623.0,1.29,213212.0,1.73,208024.0,0.9,1350.0,0.82
2018-04-30,Baltimore,MD,20,13968.0,4368.0,313300.0,2.74,276000.0,1.72,291971.0,0.34,1484.0,0.68
2018-04-30,Denver,CO,21,12501.0,5074.0,556621.0,-0.3,416000.0,2.2,419605.0,0.68,1572.0,0.77
2018-04-30,Pittsburgh,PA,22,10756.0,2827.0,177267.0,2.33,161000.0,2.24,151761.0,0.79,1114.0,0.45
2018-04-30,Portland,OR,23,8066.0,3783.0,489265.0,1.35,381283.0,0.93,406953.0,0.41,1499.0,0.67
2018-04-30,Charlotte,NC,24,11797.0,4303.0,339125.0,1.94,242833.0,2.68,218746.0,0.54,1287.0,1.02
2018-04-30,Sacramento,CA,25,6497.0,3195.0,486667.0,1.88,399667.0,2.3,408131.0,0.66,1677.0,0.78
2018-04-30,San Antonio,TX,26,13086.0,3180.0,288667.0,2.0,216633.0,1.09,219476.0,0.56,1147.0,0.44
2018-04-30,Orlando,FL,27,13239.0,4485.0,317667.0,2.71,243942.0,0.07,233722.0,0.97,1419.0,0.64
2018-04-30,Cleveland,OH,29,12412.0,3009.0,171433.0,3.96,137700.0,3.28,148657.0,0.71,1084.0,0.56
2018-04-30,Kansas City,MO,30,9985.0,3720.0,274633.0,1.86,208300.0,2.42,192786.0,0.65,1042.0,0.68
2018-04-30,Las Vegas,NV,31,12848.0,4331.0,306300.0,3.85,279362.0,2.44,267326.0,1.06,1241.0,1.06
2018-04-30,Columbus,OH,32,5472.0,2736.0,302433.0,6.19,193500.0,0.0,193306.0,0.92,1113.0,0.91
2018-04-30,Indianapolis,IN,33,7516.0,2893.0,251631.0,10.56,172983.0,3.8,168872.0,0.89,1090.0,0.55
2018-04-30,Austin,TX,35,9311.0,3567.0,362113.0,1.28,304457.0,2.47,313558.0,0.12,1366.0,0.66
2018-04-30,Virginia Beach,VA,36,12457.0,3169.0,264319.0,1.71,242000.0,0.69,235905.0,0.23,1251.0,0.48
2018-04-30,Nashville,TN,37,9409.0,2858.0,379617.0,0.71,271078.0,1.38,268463.0,0.54,1366.0,0.89
2018-04-30,Providence,RI,38,5877.0,1866.0,360063.0,1.98,261217.0,1.95,305127.0,0.62,1381.0,1.1
2018-04-30,Jacksonville,FL,40,11593.0,3074.0,314667.0,1.51,236995.0,1.89,215014.0,0.61,1228.0,0.82
2018-04-30,Memphis,TN,41,5885.0,1564.0,193133.0,1.68,166000.0,1.84,141709.0,0.7,1061.0,0.86
2018-04-30,Oklahoma City,OK,42,8682.0,2375.0,247720.0,2.13,168000.0,2.05,151312.0,-0.0,1057.0,0.57
2018-04-30,Louisville-Jefferson County,KY,43,4726.0,1865.0,266567.0,4.91,172667.0,1.32,169567.0,0.48,1026.0,0.2
2018-04-30,Hartford,CT,44,5576.0,1841.0,293732.0,2.37,221583.0,2.74,236240.0,0.08,1319.0,0.61
2018-04-30,New Orleans,LA,46,4224.0,1156.0,249500.0,2.6,186430.0,-0.62,201062.0,-0.38,1217.0,0.5
2018-04-30,Buffalo,NY,47,2659.0,1091.0,192761.0,4.63,142467.0,0.19,161652.0,0.43,973.0,0.31
2018-04-30,Raleigh,NC,48,7307.0,2034.0,361621.0,2.73,276000.0,1.85,264228.0,0.36,1298.0,0.85
2018-04-30,Birmingham,AL,49,6728.0,1943.0,226383.0,5.27,187983.0,2.29,162000.0,0.48,1043.0,0.77
2018-04-30,Salt Lake City,UT,50,3178.0,1558.0,435164.0,1.61,305394.0,1.48,345705.0,1.04,1214.0,0.08
2018-04-30,Grand Rapids,MI,52,3154.0,1421.0,291667.0,3.55,182383.0,1.67,198001.0,0.63,1100.0,1.57
2018-04-30,Tucson,AZ,53,5633.0,1718.0,275000.0,2.1,204967.0,2.14,200060.0,0.83,1079.0,1.51
2018-04-30,Urban Honolulu,HI,54,4061.0,1139.0,650000.0,-1.02,550667.0,-1.78,719891.0,0.27,2278.0,0.04
2018-04-30,Tulsa,OK,55,7005.0,1684.0,201754.0,2.83,162300.0,0.83,144197.0,0.0,990.0,-0.1
2018-04-30,Fresno,CA,56,2147.0,945.0,333605.0,1.03,270167.0,1.25,251479.0,0.51,1402.0,1.01
2018-04-30,Worcester,MA,57,2927.0,1182.0,297714.0,3.3,249083.0,0.98,282542.0,0.4,1359.0,0.22
2018-04-30,Stamford,CT,58,6365.0,2044.0,788162.0,3.27,390834.0,1.3,418986.0,0.21,2096.0,0.82
2018-04-30,Albuquerque,NM,59,3891.0,1384.0,257233.0,2.66,195983.0,3.89,197338.0,0.72,1060.0,0.57
2018-04-30,Albany,NY,60,2589.0,742.0,250888.0,0.74,189983.0,4.59,197569.0,0.67,1174.0,-0.17
2018-04-30,Omaha,NE,61,3296.0,1349.0,305307.0,3.44,178333.0,0.94,189020.0,0.47,975.0,0.72
2018-04-30,New Haven,CT,62,3908.0,1237.0,312994.0,3.94,208083.0,0.4,226491.0,0.27,1517.0,0.93
2018-04-30,Bakersfield,CA,63,2941.0,965.0,273800.0,2.44,229583.0,1.1,215727.0,0.88,1200.0,1.01
2018-04-30,Knoxville,TN,64,4976.0,1414.0,276633.0,3.75,183032.0,2.71,177686.0,0.62,1104.0,0.09
2018-04-30,Greenville,SC,65,5897.0,1494.0,265788.0,2.3,189967.0,0.69,191729.0,0.55,1162.0,1.22
2018-04-30,Ventura,CA,66,1880.0,830.0,785667.0,1.03,575000.0,-0.55,602820.0,-0.36,2313.0,-0.47
2018-04-30,Allentown,PA,67,3805.0,1193.0,256260.0,3.42,177000.0,0.52,202971.0,0.62,1321.0,0.92
2018-04-30,El Paso,TX,68,4635.0,1022.0,180988.0,0.38,153308.0,1.12,128657.0,-0.08,1044.0,1.26
2018-04-30,Baton Rouge,LA,69,4677.0,1296.0,239667.0,2.13,199207.0,1.44,193567.0,-0.31,1199.0,1.01
2018-04-30,Dayton,OH,70,2972.0,1088.0,146149.0,3.82,132633.0,5.79,124138.0,0.55,966.0,-0.21
2018-04-30,Greensboro,NC,73,2873.0,842.0,217967.0,5.98,152667.0,3.39,142176.0,0.33,988.0,0.41
2018-04-30,Akron,OH,74,4095.0,1025.0,152226.0,4.55,128300.0,4.07,144039.0,1.31,912.0,0.66
2018-04-30,North Port-Sarasota-Bradenton,FL,75,10701.0,2507.0,361433.0,0.0,267632.0,-0.62,271216.0,0.6,1534.0,-0.65
2018-04-30,Little Rock,AR,76,5197.0,1172.0,175688.0,1.4,158713.0,1.53,146615.0,0.24,918.0,0.22
2018-04-30,Stockton,CA,77,1439.0,703.0,368837.0,0.44,386500.0,1.31,352861.0,1.18,1733.0,0.35
2018-04-30,Charleston,SC,78,7283.0,1832.0,372527.0,1.71,266980.0,0.38,266111.0,0.54,1366.0,0.66
2018-04-30,Syracuse,NY,79,2567.0,705.0,139014.0,4.2,128667.0,2.14,139654.0,0.36,1059.0,-0.38
2018-04-30,Colorado Springs,CO,80,2380.0,1223.0,464824.0,-0.77,301471.0,2.09,290022.0,0.89,1353.0,0.74
2018-04-30,Winston-Salem,NC,81,2736.0,837.0,216663.0,1.56,152333.0,0.22,144933.0,0.47,1139.0,1.06
2018-04-30,Springfield,MA,83,1793.0,624.0,254931.0,3.85,201800.0,2.15,226096.0,-0.42,1260.0,-0.24
2018-04-30,Fort Myers,FL,84,17443.0,2785.0,249198.0,0.44,231625.0,2.36,237201.0,0.18,1355.0,-0.29
2018-04-30,Boise City,ID,85,3544.0,1745.0,354630.0,1.82,261053.0,0.76,258488.0,1.06,1154.0,0.09
2018-04-30,Toledo,OH,86,2425.0,795.0,136633.0,5.13,113818.0,4.92,117130.0,1.04,1006.0,3.39
2018-04-30,Madison,WI,87,2734.0,1013.0,316267.0,2.15,251683.0,0.02,267848.0,0.43,1155.0,0.09
2018-04-30,Lakeland,FL,88,4616.0,1127.0,235084.0,1.48,184000.0,-0.63,172655.0,1.3,1217.0,1.08
2018-04-30,Ogden,UT,89,2145.0,850.0,379219.0,3.15,252833.0,1.88,288568.0,0.77,1192.0,1.1
2018-04-30,Daytona Beach,FL,90,6119.0,1730.0,275250.0,1.22,200300.0,2.77,206060.0,0.83,1261.0,0.4
2018-04-30,Des Moines,IA,91,4310.0,1373.0,288616.0,1.7,199250.0,1.87,198608.0,0.48,1042.0,0.87
2018-04-30,Provo,UT,100,2046.0,712.0,408117.0,1.27,293300.0,1.74,334133.0,0.69,1263.0,1.53
2018-04-30,Durham,NC,104,2208.0,772.0,382014.0,2.43,271833.0,2.9,250665.0,0.61,1265.0,0.88
2018-04-30,Fort Collins,CO,159,2487.0,658.0,441485.0,0.64,377708.0,0.42,394379.0,0.32,1494.0,0.88
2018-05-31,New York,NY,1,85710.0,25402.0,554667.0,1.84,404269.0,0.9,468942.0,0.51,2650.0,0.57
2018-05-31,Los Angeles-Long Beach-Anaheim,CA,2,25650.0,11029.0,849667.0,1.39,644667.0,1.36,657653.0,0.39,2343.0,0.47
2018-05-31,Chicago,IL,3,53568.0,17243.0,346133.0,2.98,239333.0,3.01,237390.0,0.19,1671.0,0.72
2018-05-31,Dallas-Fort Worth,TX,4,29533.0,11944.0,365967.0,1.76,268333.0,2.55,244240.0,0.48,1352.0,0.3
2018-05-31,Philadelphia,PA,5,30610.0,9874.0,270133.0,3.64,236333.0,3.2,239499.0,0.41,1510.0,0.73
2018-05-31,Houston,TX,6,39374.0,10399.0,329138.0,1.07,237321.0,2.6,210710.0,0.48,1338.0,0.22
2018-05-31,Washington,DC,7,28952.0,10773.0,465031.0,2.65,409860.0,3.1,418119.0,0.39,1951.0,0.57
2018-05-31,Miami-Fort Lauderdale,FL,8,65900.0,12030.0,397829.0,0.41,278333.0,1.83,286534.0,0.6,1853.0,0.22
2018-05-31,Atlanta,GA,9,32683.0,11253.0,344667.0,2.78,240707.0,2.63,222794.0,0.6,1346.0,1.05
2018-05-31,Boston,MA,10,13897.0,7048.0,597833.0,2.37,449000.0,2.67,480120.0,0.52,2451.0,0.62
2018-05-31,San Francisco,CA,11,7296.0,4367.0,924667.0,2.78,843000.0,3.73,1114627.0,1.31,2989.0,0.91
2018-05-31,Detroit,MI,12,16884.0,7354.0,253000.0,6.3,179633.0,4.44,168432.0,0.83,1121.0,1.08
2018-05-31,Riverside,CA,13,20275.0,7005.0,406633.0,0.99,366167.0,0.46,364580.0,0.74,1766.0,0.23
2018-05-31,Phoenix,AZ,14,28944.0,9860.0,354316.0,0.85,266833.0,1.01,257636.0,0.6,1225.0,0.66
2018-05-31,Seattle,WA,15,10354.0,6417.0,597117.0,2.28,488648.0,1.83,511212.0,0.57,1837.0,0.93
2018-05-31,Minneapolis-St Paul,MN,16,13547.0,6368.0,391231.0,-0.44,259333.0,1.97,277384.0,0.45,1416.0,0.57
2018-05-31,San Diego,CA,17,8667.0,3861.0,749633.0,0.04,580000.0,2.05,581515.0,-0.1,2225.0,0.95
2018-05-31,St. Louis,MO,18,14594.0,5067.0,213267.0,4.07,180300.0,3.05,173580.0,0.35,1018.0,0.59
2018-05-31,Tampa,FL,19,22732.0,6926.0,270485.0,1.83,217545.0,2.03,209191.0,0.56,1357.0,0.52
2018-05-31,Baltimore,MD,20,15204.0,5041.0,326633.0,4.26,287667.0,4.23,292701.0,0.25,1492.0,0.54
2018-05-31,Denver,CO,21,14270.0,5886.0,547997.0,-1.55,421000.0,1.2,422377.0,0.66,1583.0,0.7
2018-05-31,Pittsburgh,PA,22,11367.0,3335.0,183133.0,3.31,165233.0,2.63,152972.0,0.8,1121.0,0.63
2018-05-31,Portland,OR,23,9326.0,4599.0,490904.0,0.33,387950.0,1.75,407723.0,0.19,1515.0,1.07
2018-05-31,Charlotte,NC,24,12725.0,4835.0,345526.0,1.89,247167.0,1.78,220010.0,0.58,1297.0,0.78
2018-05-31,Sacramento,CA,25,7435.0,3743.0,492667.0,1.23,405000.0,1.33,409782.0,0.4,1697.0,1.19
2018-05-31,San Antonio,TX,26,13818.0,3537.0,295133.0,2.24,222945.0,2.91,220726.0,0.57,1152.0,0.44
2018-05-31,Orlando,FL,27,13691.0,4771.0,323000.0,1.68,247667.0,1.53,235950.0,0.95,1429.0,0.7
2018-05-31,Cleveland,OH,29,13415.0,3511.0,176433.0,2.92,142283.0,3.33,148824.0,0.11,1095.0,1.01
2018-05-31,Kansas City,MO,30,11116.0,4478.0,277500.0,1.04,215000.0,3.22,193885.0,0.57,1049.0,0.67
2018-05-31,Las Vegas,NV,31,12075.0,4454.0,324514.0,5.95,283696.0,1.55,269665.0,0.87,1254.0,1.05
2018-05-31,Columbus,OH,32,6229.0,3335.0,311597.0,3.03,196100.0,1.34,195778.0,1.28,1118.0,0.45
2018-05-31,Indianapolis,IN,33,7831.0,3388.0,272600.0,8.33,179000.0,3.48,170279.0,0.83,1096.0,0.55
2018-05-31,Austin,TX,35,10465.0,4019.0,363496.0,0.38,310656.0,2.04,314111.0,0.18,1378.0,0.88
2018-05-31,Virginia Beach,VA,36,13240.0,3557.0,269749.0,2.05,245667.0,1.52,236618.0,0.3,1251.0,0.0
2018-05-31,Nashville,TN,37,10246.0,3275.0,379617.0,0.0,275614.0,1.67,269451.0,0.37,1374.0,0.59
2018-05-31,Providence,RI,38,6607.0,2366.0,365307.0,1.46,266750.0,2.12,306718.0,0.52,1384.0,0.22
2018-05-31,Jacksonville,FL,40,12132.0,3187.0,316580.0,0.61,238662.0,0.7,216864.0,0.86,1237.0,0.73
2018-05-31,Memphis,TN,41,6205.0,1731.0,196467.0,1.73,176667.0,6.43,142701.0,0.7,1065.0,0.38
2018-05-31,Oklahoma City,OK,42,9088.0,2659.0,252175.0,1.8,170833.0,1.69,151517.0,0.14,1059.0,0.19
2018-05-31,Louisville-Jefferson County,KY,43,5044.0,2056.0,274600.0,3.01,177667.0,2.9,170119.0,0.33,1031.0,0.49
2018-05-31,Hartford,CT,44,6243.0,2196.0,297460.0,1.27,224917.0,1.5,236850.0,0.26,1329.0,0.76
2018-05-31,New Orleans,LA,46,4424.0,1263.0,257000.0,3.01,191097.0,2.5,200207.0,-0.43,1216.0,-0.08
